EMPRESA: METALÚRGICA POLY STEEL
ID_EMPRESA: 3
PERIODO: 2019-01-01 ate 2026-05-06
Fonte: Sienge API REST ao vivo (accounts-statements, bills, bill budget-categories e cost-centers), sem uso do banco local. Arquivo atualizado incrementalmente de 20 em 20 registros.
Formula: Margem = MC / Receita. MC = Receita - Custos/Despesas.
Registros: accounts-statements=2025; statements-applied=341; bills=934; bills-applied=933; bill-categories=1099; cost-centers=23; batches-written=188.

OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
Sem obra identificada;0;R$ 125.282,94;R$ 46.302,01;R$ 78.980,93;63,04%
COBERTA METALICA - MADALENA;30014;R$ 109.000,54;R$ 362.867,64;R$ -253.867,10;-232,90%
ESTRUTURA METÁLICA - SOLONÓPOLE;30015;R$ 60.083,00;R$ 261.103,80;R$ -201.020,80;-334,57%
MARQUISE - UMIRIM;30013;R$ 20.001,80;R$ 89.408,53;R$ -69.406,73;-347,00%
GALPÃO INDUSTRIAL - NP&P;30016;R$ 9.494,08;R$ 59.725,54;R$ -50.231,46;-529,08%
ESCRITORIO POLY STEEL;30001;R$ 5.150,00;R$ 732.784,78;R$ -727.634,78;-14128,83%
OBRAS PARCERIA POLY STEEL;30002;R$ 321,73;R$ 515.141,10;R$ -514.819,37;-160015,97%
ALMOXARIFADO POLYSTEEL;30021;R$ 0,00;R$ 2.342,56;R$ -2.342,56;0,00%
CENTRO DE EDUCAÇÃO INFANTIL - CEI IV - CASCAVEL - POLYSTEEL;30020;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
CHESS CONSTRUÇÕES LTDA;30017;R$ 0,00;R$ 11.516,00;R$ -11.516,00;0,00%
CONDOMINIO GRAN TERAZZO;30018;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
CONSTRUÇÃO DE BLOCO DE 04 SALAS DE AULA NA REITORIA - STEEL FRAME - POLYSTEEL;30023;R$ 0,00;R$ 2.969,40;R$ -2.969,40;0,00%
ESTRUTURA STEEL FRAME - BAHIA;30012;R$ 0,00;R$ 375,00;R$ -375,00;0,00%
OBRAS PARACURU;30003;R$ 0,00;R$ 1.024,59;R$ -1.024,59;0,00%
SHOPPING MALL EUSEBIO;30011;R$ 0,00;R$ 13.478,06;R$ -13.478,06;0,00%
STEEL FRAME CAMOCIM;30005;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
STEEL FRAME CRATEUS;30004;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
STEEL FRAME MARACANAU;30008;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
STEEL FRAME MORADA NOVA;30007;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
STEEL FRAME TABULEIRO DO NORTE;30006;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
STEEL FRAME UBAJARA;30009;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
UFC;30010;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
URBANIZAÇÃO CAMPUS UNILAB - POLYSTEEL;30019;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
XINGUM AÇAITERIA;30022;R$ 0,00;R$ 0,00;R$ 0,00;0,00%

TOTAL;3;R$ 329.334,09;R$ 2.099.039,01;R$ -1.769.704,92;-537,36%
