EMPRESA: SMN - STEEL MONTAGENS DO NORDESTE LTDA
ID_EMPRESA: 8
PERIODO: 2019-01-01 ate 2026-05-06
Fonte: Sienge API REST ao vivo (accounts-statements, bills, bill budget-categories e cost-centers), sem uso do banco local. Arquivo atualizado incrementalmente de 20 em 20 registros.
Formula: Margem = MC / Receita. MC = Receita - Custos/Despesas.
Registros: accounts-statements=1034; statements-applied=571; bills=336; bills-applied=336; bill-categories=317; cost-centers=11; batches-written=84.

OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
ESCRITÓRIO SMN;80001;R$ 5.504,70;R$ 644.235,47;R$ -638.730,77;-11603,37%
OBRA IFCE HORIZONTE;80004;R$ 2.315,58;R$ 59.987,70;R$ -57.672,12;-2490,61%
Sem obra identificada;0;R$ 1.650,00;R$ 44.621,73;R$ -42.971,73;-2604,35%
OBRA IFCE CAUCAIA;80003;R$ 1.019,07;R$ 39.391,38;R$ -38.372,31;-3765,42%
OBRA IFCE PARACURU;80005;R$ 500,00;R$ 37.658,76;R$ -37.158,76;-7431,75%
OBRA GENESIS;80002;R$ 249,20;R$ 82.793,20;R$ -82.544,00;-33123,60%
CENTRO DE GESTÃO INTEGRADA - CGI MUNICIPIO DE TAUA;80011;R$ 0,00;R$ 15.369,28;R$ -15.369,28;0,00%
OBRA IFCE BATURITE;80007;R$ 0,00;R$ 10.469,11;R$ -10.469,11;0,00%
OBRA IFCE CAMOCIM;80008;R$ 0,00;R$ 17.838,94;R$ -17.838,94;0,00%
OBRA IFCE MORADA NOVA;80006;R$ 0,00;R$ 16.374,68;R$ -16.374,68;0,00%
OBRA IFCE TIANGUÁ;80009;R$ 0,00;R$ 28.625,87;R$ -28.625,87;0,00%
OBRA UBAJARA;80010;R$ 0,00;R$ 1.104,45;R$ -1.104,45;0,00%

TOTAL;8;R$ 11.238,55;R$ 998.470,57;R$ -987.232,02;-8784,34%
